"","assigned_to_cluster","timestamp"
"1519",NA,"2016-10-10 18:26:16"
"1520",11,"2016-10-10 18:19:06"
"1521",1,"2016-10-10 17:55:09"
"1522",NA,"2016-10-10 17:33:00"
"1523",4,"2016-10-10 17:24:08"
"1524",NA,"2016-10-10 17:20:47"
"1525",12,"2016-10-10 17:02:19"
"1526",11,"2016-10-10 16:46:59"
"1527",14,"2016-10-10 14:53:03"
"1528",4,"2016-10-10 14:25:59"
"1529",NA,"2016-10-10 13:45:21"
"1530",8,"2016-10-10 01:44:15"
"1531",14,"2016-10-10 01:15:06"
"1532",11,"2016-10-10 00:19:34"
"1533",4,"2016-10-10 00:08:12"
"1534",8,"2016-10-09 23:48:40"
"1535",NA,"2016-10-09 22:03:48"
"1536",1,"2016-10-09 18:20:26"
