"id","assigned_to_cluster","timestamp","lon","lat",
"948",12,"2016-10-26 14:30:51",-40.2920625,-20.3297248,
"947",4,"2016-10-26 15:02:40",-58.4375796,-34.6075797,
"946",NA,"2016-10-26 15:09:20",-66.0534398736473,18.38423905,
"945",12,"2016-10-26 15:10:42",-43.2093726,-22.9110136,
"944",10,"2016-10-26 15:44:10",-48.8031366,-22.6029896,
"943",10,"2016-10-26 16:21:09",-46.9023979,-23.5273657,
"942",4,"2016-10-26 16:34:11",-58.5701504,-34.4471918,
"941",10,"2016-10-26 16:42:37",-47.6491699,-22.7252799,
"940",8,"2016-10-26 17:02:23",-54.8122079,-22.2206144,
"939",NA,"2016-10-26 17:06:52",-68.3305069,-34.6128849,
"938",NA,"2016-10-26 17:28:31",-92.7747840052769,18.0271663,
"937",NA,"2016-10-26 19:10:47",-85.0592718528098,9.78818175,
"936",10,"2016-10-26 19:28:02",-46.6333823,-23.5506506,
"935",4,"2016-10-26 19:49:50",-58.5701504,-34.4471918,
"934",NA,"2016-10-26 19:56:23",-92.7747840052769,18.0271663,
"933",NA,"2016-10-26 20:05:21",-93.1883585891972,18.3623055,
"932",NA,"2016-10-26 21:19:00",-102.468451616512,21.9345555,
"931",4,"2016-10-26 23:08:22",-58.4375796,-34.6075797,
"930",10,"2016-10-26 23:11:12",-46.6091249,-22.4749999,
"929",12,"2016-10-26 23:19:23",-41.9449719,-22.5269447,
"928",6,"2016-10-26 23:44:53",-52.0991296,-32.0334251,
"927",NA,"2016-10-27 00:52:41",-53.1999999,-10.3333332,
"926",13,"2016-10-27 01:52:12",-43.9450947,-19.9227317,
"925",4,"2016-10-27 01:57:00",-58.4375796,-34.6075797,
"924",NA,"2016-10-27 21:50:21",-75.0458514,-6.8699696,
"923",NA,"2016-10-27 21:57:28",-75.0458514,-6.8699696,
"922",NA,"2016-10-27 22:14:46",-93.1883585891972,18.3623055,
"921",10,"2016-10-27 22:57:24",-47.8909319,-22.0183366,
"920",NA,"2016-10-28 00:17:57",-99.1434558734266,19.43393435,
"919",10,"2016-10-28 00:56:09",-46.6333823,-23.5506506,
"918",1,"2016-10-28 14:21:43",-74.085237657545,4.63874255,
"917",NA,"2016-10-28 15:04:54",-84.0795781,9.9325427,
"916",NA,"2016-10-28 15:07:56",-84.0795781,9.9325427,
"915",5,"2016-10-28 15:11:19",-57.6311195,-25.2959915,
"914",2,"2016-10-28 15:34:04",-64.1833189,-31.417339,
"913",4,"2016-10-28 15:36:27",-58.4375796,-34.6075797,
"912",NA,"2016-10-28 16:39:43",-66.8558794,-29.412741,
"911",4,"2016-10-28 16:55:40",-58.4375796,-34.6075797,
"910",5,"2016-10-28 16:57:37",-58.8328657,-27.4720341,
"909",4,"2016-10-28 18:17:44",-57.9537637,-34.9206796,
"908",2,"2016-10-28 19:44:18",-60.6430356770138,-31.64727895,
"907",12,"2016-10-28 19:54:44",-43.2093726,-22.9110136,
"906",2,"2016-10-28 19:59:37",-60.6430356770138,-31.64727895,
"905",2,"2016-10-28 20:12:35",-60.6430356770138,-31.64727895,
"904",2,"2016-10-28 20:20:13",-60.6430356770138,-31.64727895,
"903",10,"2016-10-28 22:26:19",-47.428086,-21.9980467,
"902",2,"2016-10-28 22:37:40",-64.1833189,-31.417339,
"901",4,"2016-10-28 23:11:30",-58.4375796,-34.6075797,
"900",5,"2016-10-29 00:27:55",-58.8328657,-27.4720341,
"899",5,"2016-10-29 00:30:21",-58.8328657,-27.4720341,
"898",8,"2016-10-29 00:32:24",-50.4390224,-21.2079919,
"897",5,"2016-10-29 00:48:24",-58.8328657,-27.4720341,
"896",12,"2016-10-29 01:03:47",-43.6633852,-22.4040393,
"895",12,"2016-10-29 01:19:30",-43.2093726,-22.9110136,
"894",13,"2016-10-29 02:18:02",-44.0840952,-19.9132748,
"893",NA,"2016-10-29 02:26:21",-93.1883585891972,18.3623055,
"892",NA,"2016-10-29 02:28:43",-93.1883585891972,18.3623055,
"891",8,"2016-10-29 02:50:28",-50.4390224,-21.2079919,
"890",9,"2016-10-29 03:48:53",-49.2243471,-25.2925438,
"889",12,"2016-10-29 04:13:46",-43.3099289,-22.7896224,
"888",NA,"2016-10-29 04:16:31",-93.1883585891972,18.3623055,
"887",10,"2016-10-29 05:57:39",-46.6333823,-23.5506506,
"886",12,"2016-10-29 06:04:39",-43.2093726,-22.9110136,
"885",6,"2016-10-29 07:09:38",-51.2304999,-30.0329999,
"884",NA,"2016-10-29 07:27:41",-66.1109317,8.0018709,
"883",4,"2016-10-29 08:07:02",-58.5214673,-34.5975719,
"882",7,"2016-10-29 13:17:27",-54.4315256,-26.7372239,
"881",11,"2016-10-29 14:28:09",-46.9003898,-17.9896106,
"880",12,"2016-10-29 15:34:57",-42.2039975,-22.4809931,
"879",9,"2016-10-29 15:42:10",-49.2712361,-25.4295696,
"878",4,"2016-10-29 16:46:00",-58.9522205,-34.6082301,
"877",13,"2016-10-29 17:55:43",-43.9450947,-19.9227317,
"876",2,"2016-10-29 17:58:22",-64.3037535,-31.2688068,
"875",9,"2016-10-29 18:36:38",-49.2712361,-25.4295696,
"874",12,"2016-10-29 19:19:48",-43.2093726,-22.9110136,
"873",5,"2016-10-29 20:35:42",-57.6311195,-25.2959915,
"872",13,"2016-10-29 22:59:02",-43.9450947,-19.9227317,
"871",NA,"2016-10-30 00:52:05",-53.1999999,-10.3333332,
"870",1,"2016-10-30 01:09:20",-74.085237657545,4.63874255,
"869",6,"2016-10-30 01:24:27",-51.2304999,-30.0329999,
"868",NA,"2016-10-30 02:42:16",-84.8700307,12.3724928,
"867",10,"2016-10-30 02:48:47",-46.6333823,-23.5506506,
"866",12,"2016-10-30 02:00:31",-43.2093726,-22.9110136,
"865",13,"2016-10-30 02:25:55",-40.1037066,-19.1918128,
"864",11,"2016-10-30 03:32:58",-49.253269,-16.6808819,
"863",NA,"2016-10-30 04:04:26",-38.4812771,-12.9822498,
"862",12,"2016-10-30 04:13:11",-43.3099289,-22.7896224,
"861",NA,"2016-10-30 04:23:13",-34.8684069,-7.9340068,
"860",4,"2016-10-30 04:26:15",-58.6480317,-34.7692489,
"859",NA,"2016-10-30 06:50:03",-59.9864061,-3.1319514,
"858",NA,"2016-10-30 07:00:56",-98.5590901243565,21.2460975,
"857",NA,"2016-10-30 07:31:56",-68.7461816,-43.7128355,
"856",NA,"2016-10-30 13:19:40",-66.8558794,-29.412741,
"855",1,"2016-10-30 13:21:59",-74.085237657545,4.63874255,
"854",13,"2016-10-30 13:31:04",-44.3145944,-19.761311,
"853",1,"2016-10-30 13:33:46",-74.085237657545,4.63874255,
"852",12,"2016-10-30 13:37:51",-43.2093726,-22.9110136,
"851",NA,"2016-10-30 16:22:06",-34.8781516,-8.064193,
"850",NA,"2016-10-30 17:08:23",-99.1333415,19.4326009,
"849",12,"2016-10-30 17:17:35",-40.2920625,-20.3297248,
"848",12,"2016-10-30 17:22:55",-43.2093726,-22.9110136,
"847",11,"2016-10-30 18:22:38",-49.2452545,-16.8226742,
